feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
sleep__sleep_light__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,19500,14100,20685,6585,14400,5100,1.295210531,0.5843137255,0.5843137255,0.5843137255
sleep__sleep_light__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_light__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_light__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_at_delta__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,3690.75,2775,5034.5,2259.5,3690.75,0,0,0,0,0.3137254902
sleep__sleep_midpoint_at_delta__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,4455,3027.75,5562.125,2534.375,3690.75,764.25,0.4294157161,0.1429286608,0.1429286608,0.3137254902
sleep__sleep_midpoint_at_delta__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,4438.5,4109.5,5156,1046.5,3690.75,747.75,0.5728882643,0.3137254902,0.3137254902,0.3137254902
sleep__sleep_midpoint_at_delta__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,8270,6290,11332,5042,8270,0,0,0,0,0.2660826033
sleep__sleep_midpoint_at_delta__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,7102,4681.75,8762,4080.25,8270,-1168,-0.3435440894,-0.2660826033,0.2660826033,0.2660826033
sleep__sleep_midpoint_at_delta__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,9628.5,6719,11921,5202,8270,1358.5,0.3577495134,0.1895424837,0.1895424837,0.2660826033
sleep__sleep_midpoint_at_delta__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_at_delta__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_at_delta__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_time__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,3390,2640,4530,1890,3390,0,0,0,0,0.339869281
sleep__sleep_midpoint_time__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,3637.5,3011.25,4725,1713.75,3390,247.5,0.1850732757,0.112640801,0.112640801,0.339869281
sleep__sleep_midpoint_time__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,3840,3495,6660,3165,3390,450,0.2328844648,0.339869281,0.339869281,0.339869281
sleep__sleep_midpoint_time__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,14055,12930,15525,2595,14055,0,0,0,0,0.5045751634
sleep__sleep_midpoint_time__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,14310,13305,15660,2355,14055,255,0.1388248013,0.06933667084,0.06933667084,0.5045751634
sleep__sleep_midpoint_time__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,18180,14550,18780,4230,14055,4125,1.585790481,0.5045751634,0.5045751634,0.5045751634
sleep__sleep_midpoint_time__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_time__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_midpoint_time__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_onset_latency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,540,420,600,180,540,0,0,0,0,0.3934640523
sleep__sleep_onset_latency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,525,390,630,240,540,-15,-0.09538870478,-0.02002503129,0.02002503129,0.3934640523
sleep__sleep_onset_latency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,660,510,720,210,540,120,0.827708616,0.3934640523,0.3934640523,0.3934640523
sleep__sleep_onset_latency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,600,450,750,300,600,0,0,0,0,0.1803921569
sleep__sleep_onset_latency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,540,420,810,390,600,-60,-0.2326380791,-0.01526908636,0.01526908636,0.1803921569
sleep__sleep_onset_latency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,720,525,900,375,600,120,0.4767108118,0.1803921569,0.1803921569,0.1803921569
sleep__sleep_onset_latency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_onset_latency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_onset_latency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rem__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,1957.5,1575,2317.5,742.5,1957.5,0,0,0,0,0.2797385621
sleep__sleep_rem__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,1987.5,1627.5,2265,637.5,1957.5,30,0.05848313221,0.0140175219,0.0140175219,0.2797385621
sleep__sleep_rem__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,2205,2100,2520,420,1957.5,247.5,0.5535082499,0.2797385621,0.2797385621,0.2797385621
sleep__sleep_rem__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,3360,2130,4500,2370,3360,0,0,0,0,0.1189542484
sleep__sleep_rem__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,3240,2325,4005,1680,3360,-120,-0.0788052191,-0.04906132666,0.04906132666,0.1189542484
sleep__sleep_rem__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,4410,1650,5340,3690,3360,1050,0.4567649079,0.1189542484,0.1189542484,0.1189542484
sleep__sleep_rem__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rem__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rem__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_restless__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,7,6,9,3,7,0,0,0,0,0.3647058824
sleep__sleep_restless__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,8,7,10,3,7,1,0.4496666667,0.2540675845,0.2540675845,0.3647058824
sleep__sleep_restless__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,8.5,7,13.5,6.5,7,1.5,0.3997341678,0.3647058824,0.3647058824,0.3647058824
sleep__sleep_restless__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,33,29,42,13,33,0,0,0,0,0.5111111111
sleep__sleep_restless__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,35,30.25,44.5,14.25,33,2,0.1978103417,0.09311639549,0.09311639549,0.5111111111
sleep__sleep_restless__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,46,40,53.5,13.5,33,13,1.323311642,0.5111111111,0.5111111111,0.5111111111
sleep__sleep_restless__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_restless__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_restless__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,7.25,5.375,10.25,4.875,7.25,0,0,0,0,0.1150326797
sleep__sleep_rmssd_5min__iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,8.1875,5.53125,11.8125,6.28125,7.25,0.9375,0.2249427071,0.04480600751,0.04480600751,0.1150326797
sleep__sleep_rmssd_5min__iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,8.3125,5.75,12.625,6.875,7.25,1.0625,0.240508903,0.1150326797,0.1150326797,0.1150326797
sleep__sleep_rmssd_5min__iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,13,10.25,16.125,5.875,13,0,0,0,0,0.03229036295
sleep__sleep_rmssd_5min__iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,14,10,18,8,13,1,0.1922092964,0.03229036295,0.03229036295,0.03229036295
sleep__sleep_rmssd_5min__iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,15,10,16.5,6.5,13,2,0.4354853484,0.02091503268,0.02091503268,0.03229036295
sleep__sleep_rmssd_5min__iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__mean__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,6.960914582,5.4170245,8.93030303,3.51327853,6.960914582,0,0,0,0,0.1215686275
sleep__sleep_rmssd_5min__mean__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,6.580944181,5.365552532,8.011407811,2.645855279,6.960914582,-0.3799704002,-0.1648189742,-0.08886107635,0.08886107635,0.1215686275
sleep__sleep_rmssd_5min__mean__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,8.069506078,5.873372758,8.759486769,2.886114011,6.960914582,1.108591497,0.4651564505,0.1215686275,0.1215686275,0.1215686275
sleep__sleep_rmssd_5min__mean__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,26.72307692,22.72940107,31.52056445,8.791163374,26.72307692,0,0,0,0,0.2
sleep__sleep_rmssd_5min__mean__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,26.82407407,20.22028833,30.64962766,10.42933934,26.72307692,0.100997151,0.01412585074,-0.07784730914,0.07784730914,0.2
sleep__sleep_rmssd_5min__mean__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,22.05263158,19.42990654,32.61904762,13.18914108,26.72307692,-4.670445344,-0.5621375305,-0.2,0.2,0.2
sleep__sleep_rmssd_5min__mean__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__mean__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__mean__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,7,5,10,5,7,0,0,0,0,0.1294117647
sleep__sleep_rmssd_5min__median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,6.75,5,8.6875,3.6875,7,-0.25,-0.07676910707,-0.1294117647,0.1294117647,0.1294117647
sleep__sleep_rmssd_5min__median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,7.5,5.25,9.5,4.25,7,0.5,0.1453608093,0.0339869281,0.0339869281,0.1294117647
sleep__sleep_rmssd_5min__median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,26,22,31,9,26,0,0,0,0,0.214379085
sleep__sleep_rmssd_5min__median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,26,19.5,30.25,10.75,26,0,0,-0.09812265332,0.09812265332,0.214379085
sleep__sleep_rmssd_5min__median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,21,18,32,14,26,-5,-0.5731351804,-0.214379085,0.214379085,0.214379085
sleep__sleep_rmssd_5min__median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_count__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,21.5,17,26,9,21.5,0,0,0,0,0.3594771242
sleep__sleep_rmssd_5min__nonzero_count__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,21,17.375,24.5,7.125,21.5,-0.5,-0.08309901743,-0.03754693367,0.03754693367,0.3594771242
sleep__sleep_rmssd_5min__nonzero_count__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,27.5,21,29.5,8.5,21.5,6,0.9246512398,0.3594771242,0.3594771242,0.3594771242
sleep__sleep_rmssd_5min__nonzero_count__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,85,79.5,92,12.5,85,0,0,0,0,0.4026143791
sleep__sleep_rmssd_5min__nonzero_count__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,85,80.5,93.25,12.75,85,0,0,0.02277847309,0.02277847309,0.4026143791
sleep__sleep_rmssd_5min__nonzero_count__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,101.5,83,109,26,85,16.5,1.091148826,0.4026143791,0.4026143791,0.4026143791
sleep__sleep_rmssd_5min__nonzero_count__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_count__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_count__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,6,4.5,8,3.5,6,0,0,0,0,0.07189542484
sleep__sleep_rmssd_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,6.125,4.21875,7.9375,3.71875,6,0.125,0.04669717924,-0.02953692115,0.02953692115,0.07189542484
sleep__sleep_rmssd_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,5.25,5.125,8,2.875,6,-0.75,-0.3158972424,0.07189542484,0.07189542484,0.07189542484
sleep__sleep_rmssd_5min__nonzero_iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,12,10,14.25,4.25,12,0,0,0,0,0.05490196078
sleep__sleep_rmssd_5min__nonzero_iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,12,9.3125,16,6.6875,12,0,0,0.0005006257822,0.0005006257822,0.05490196078
sleep__sleep_rmssd_5min__nonzero_iqr__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,14,9,15,6,12,2,0.5189301222,0.05490196078,0.05490196078,0.05490196078
sleep__sleep_rmssd_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,8,5.625,10.5,4.875,8,0,0,0,0,0.1045751634
sleep__sleep_rmssd_5min__nonzero_median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,7.875,6,10.4375,4.4375,8,-0.125,-0.03617486619,-0.01326658323,0.01326658323,0.1045751634
sleep__sleep_rmssd_5min__nonzero_median__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,9.875,5.75,10,4.25,8,1.875,0.5530877262,0.1045751634,0.1045751634,0.1045751634
sleep__sleep_rmssd_5min__nonzero_median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,27,23,35.75,12.75,27,0,0,0,0,0.1843137255
sleep__sleep_rmssd_5min__nonzero_median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,27.5,21.25,32.375,11.125,27,0.5,0.05637219521,-0.06833541927,0.06833541927,0.1843137255
sleep__sleep_rmssd_5min__nonzero_median__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,21.5,20,32,12,27,-5.5,-0.599280467,-0.1843137255,0.1843137255,0.1843137255
sleep__sleep_rmssd_5min__nonzero_median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_median__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q10__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,4.5,3,7,4,4.5,0,0,0,0,0.09803921569
sleep__sleep_rmssd_5min__nonzero_q10__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,4.15,3,5.875,2.875,4.5,-0.35,-0.1355499154,-0.07284105131,0.07284105131,0.09803921569
sleep__sleep_rmssd_5min__nonzero_q10__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,5,3.95,6.6,2.65,4.5,0.5,0.1988019825,0.09803921569,0.09803921569,0.09803921569
sleep__sleep_rmssd_5min__nonzero_q10__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,18,16.05,22.1,6.05,18,0,0,0,0,0.2235294118
sleep__sleep_rmssd_5min__nonzero_q10__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,18,15.6,21.925,6.325,18,0,0,-0.08260325407,0.08260325407,0.2235294118
sleep__sleep_rmssd_5min__nonzero_q10__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,17,14.2,20,5.8,18,-1,-0.2276286734,-0.2235294118,0.2235294118,0.2235294118
sleep__sleep_rmssd_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q90__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,12.3,10,19.35,9.35,12.3,0,0,0,0,0.03006535948
sleep__sleep_rmssd_5min__nonzero_q90__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,12.45,9.8875,17.175,7.2875,12.3,0.15,0.02413978746,-0.01727158949,0.01727158949,0.03006535948
sleep__sleep_rmssd_5min__nonzero_q90__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,13,10.05,19.5,9.45,12.3,0.7,0.1004560257,0.03006535948,0.03006535948,0.03006535948
sleep__sleep_rmssd_5min__nonzero_q90__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,42.3,36.9,51,14.1,42.3,0,0,0,0,0.08758169935
sleep__sleep_rmssd_5min__nonzero_q90__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,43.4,32.2,51.45,19.25,42.3,1.1,0.08794707276,-0.004005006258,0.004005006258,0.08758169935
sleep__sleep_rmssd_5min__nonzero_q90__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,39,34.8,48.5,13.7,42.3,-3.3,-0.3202330401,-0.08758169935,0.08758169935,0.08758169935
sleep__sleep_rmssd_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0.08316281552,0.05336904406,0.1099447478,0.05657570378,0.08316281552,0,0,0,0,0.3045751634
sleep__sleep_rmssd_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0.08367933568,0.05276266302,0.1122285838,0.05946592073,0.08316281552,0.0005165201532,0.01200551382,0.04580725907,0.04580725907,0.3045751634
sleep__sleep_rmssd_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_rmssd_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0.1118904726,0.09039461851,0.1322506742,0.04185605573,0.08316281552,0.0287276571,0.7787613795,0.3045751634,0.3045751634,0.3045751634
sleep__sleep_rmssd_5min__nonzero_ratio__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,0.9234432234,0.8874782609,0.9520803443,0.06460208346,0.9234432234,0,0,0,0,0.1712418301
sleep__sleep_rmssd_5min__nonzero_ratio__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,0.9166666667,0.8771106976,0.9443464703,0.06723577268,0.9234432234,-0.006776556777,-0.1386513986,-0.1261576971,0.1261576971,0.1712418301
sleep__sleep_rmssd_5min__nonzero_ratio__subject_median,sleep,sleep_rmssd_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,0.9115347019,0.8549618321,0.925,0.07003816794,0.9234432234,-0.01190852159,-0.2384356497,-0.1712418301,0.1712418301,0.1712418301
sleep__sleep_rmssd_5min__nonzero_ratio__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_rmssd_5min__nonzero_ratio__subject_missing_fraction,sleep,sleep_rmssd_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
